year,iso_o,iso_d,dist,lndist,trade_o,asean_FTA,contig,comlang_off,comcol,comrelig,gdp_o,gdp_d,rta,home,flow,asean,tariff,reporter_prevalence_score,partner_prevalence_score,international,concat
2021,IND,IDN,4999,8.516993171,4515382.4,1,0,0,0,0.051223,3170000000,1190000000,1,0,4515382.4,1,13.4746,4.9,3,1,INDIDN
2021,IND,IND,682,6.525029658,0,1,0,0,0,0.013746,3170000000,3170000000,0,1,0,1,0,0,0,0,INDIND
2021,IND,JPN,5846,8.673512946,4810862.6,0,0,0,0,0.000177,3170000000,4940000000,1,0,4810862.6,0,11.5026,4.9,3.3,1,INDJPN
2021,IND,KHM,3445,8.144679183,203999.99,1,0,0,0,0.002808,3170000000,27000000,1,0,203999.99,1,18.4932,4.9,4.4,1,INDKHM
2021,IND,LAO,2845,7.953318347,29285.119,1,0,0,0,0.001286,3170000000,18800000,1,0,29285.119,1,10.6878,4.9,3.2,1,INDLAO
2021,IND,MMR,2342,7.758760544,956900.49,1,1,0,1,0.004645,3170000000,65100000,1,0,956900.49,1,19.1086,4.9,2.6,1,INDMMR
2021,IND,MYS,3834,8.251663924,6268517.7,1,0,0,1,0.057822,3170000000,373000000,1,0,6268517.7,1,12.7413,4.9,2.4,1,INDMYS
2021,IND,PHL,4760,8.468002947,1635533.8,1,0,1,0,0.016339,3170000000,394000000,1,0,1635533.8,1,12.7631,4.9,4,1,INDPHL
2021,IND,SGP,4145,8.329658068,10718133,1,0,1,1,0.021081,3170000000,397000000,1,0,10718133,1,12.3467,4.9,2.6,1,INDSGP
2021,IND,THA,2922,7.980023592,4331648.8,1,0,0,0,0.004598,3170000000,506000000,1,0,4331648.8,1,12.5846,4.9,2.1,1,INDTHA
2021,IND,USA,11771,9.373394158,54287981,0,0,1,0,0.009624,3170000000,23000000000,0,0,54287981,0,12.5153,4.9,4.1,1,INDUSA
2021,IND,VNM,3652,8.203030242,5512870.2,1,0,0,0,0.001689,3170000000,363000000,1,0,5512870.2,1,13.4844,4.9,5,1,INDVNM
2021,JPN,ARE,7940,8.979668554,7178999.4,0,0,0,0,0.000051,4940000000,41500000,0,0,7178999.4,0,3.58076,3.3,3.4,1,JPNARE
2021,JPN,AUS,8156,9.006509132,13951749,0,0,0,0,0.003891,4940000000,1540000000,1,0,13951749,0,5.51831,3.3,3.5,1,JPNAUS
2021,JPN,BRN,4246,8.353732642,132728.83,0,0,0,0,0.000291,4940000000,14000000,1,0,132728.83,0,4.29219,3.3,2.4,1,JPNBRN
2021,JPN,CHN,1763,7.474772182,134400000,0,0,0,0,0,4940000000,17700000000,0,0,134400000,0,3.7654,3.3,6.8,1,JPNCHN
2021,JPN,IDN,5772,8.66077392,13966984,0,0,0,0,0.000594,4940000000,1190000000,1,0,13966984,0,3.8451,3.3,3,1,JPNIDN
2021,JPN,IND,5846,8.673512946,10974699,0,0,0,0,0.000177,4940000000,3170000000,1,0,10974699,0,4.47858,3.3,4.9,1,JPNIND
2021,JPN,JPN,231,5.442417711,0,0,0,0,0,0.000117,4940000000,4940000000,0,1,0,0,0,0,0,0,JPNJPN
2021,JPN,KHM,4402,8.389814262,562100.53,0,0,0,0,0.000015,4940000000,27000000,1,0,562100.53,0,7.17501,3.3,4.4,1,JPNKHM
2021,JPN,LAO,4142,8.328934042,95799.595,0,0,0,0,0.000066,4940000000,18800000,1,0,95799.595,0,7.12704,3.3,3.2,1,JPNLAO
2021,JPN,MMR,4776,8.471358655,652075,0,0,0,0,0.000342,4940000000,65100000,1,0,652075,0,8.72724,3.3,2.6,1,JPNMMR
2021,JPN,MYS,5315,8.578288291,12981958,0,0,0,0,0.000294,4940000000,373000000,1,0,12981958,0,2.66256,3.3,2.4,1,JPNMYS
2021,JPN,PHL,2990,8.003028666,10633910,0,0,0,0,0.005388,4940000000,394000000,1,0,10633910,0,3.69676,3.3,4,1,JPNPHL
2021,JPN,SGP,5310,8.577347114,19016260,0,0,0,0,0.000516,4940000000,397000000,1,0,19016260,0,2.05731,3.3,2.6,1,JPNSGP
2021,JPN,THA,4604,8.43468077,30008450,0,0,0,0,0.000042,4940000000,506000000,1,0,30008450,0,4.10878,3.3,2.1,1,JPNTHA
2021,JPN,USA,10872,9.293945956,140400000,0,0,0,0,0.005724,4940000000,23000000000,0,0,140400000,0,4.52103,3.3,4.1,1,JPNUSA
2021,JPN,VNM,4327,8.37262974,16472083,0,0,0,0,0.000252,4940000000,363000000,1,0,16472083,0,4.14239,3.3,5,1,JPNVNM
2021,KHM,ARE,5423,8.598404447,52836.581,0,0,0,0,0.022783,27000000,41500000,0,0,52836.581,0,11.4648,4.4,3.4,1,KHMARE
2021,KHM,AUS,6877,8.835937789,133882.46,0,0,0,0,0.000579,27000000,1540000000,1,0,133882.46,0,13.0411,4.4,3.5,1,KHMAUS
2021,KHM,BRN,1325,7.189167738,14316.751,1,0,0,0,0.015451,27000000,14000000,1,0,14316.751,1,12.0767,4.4,2.4,1,KHMBRN
2021,KHM,CHN,2763,7.924072325,1012147.8,0,0,0,0,0.000576,27000000,17700000000,1,0,1012147.8,0,10.6022,4.4,6.8,1,KHMCHN
2021,KHM,IDN,1977,7.589335823,22508.768,1,0,0,0,0.010491,27000000,1190000000,1,0,22508.768,1,12.9316,4.4,3,1,KHMIDN
2021,KHM,IND,3445,8.144679183,64876.714,1,0,0,0,0.002808,27000000,3170000000,1,0,64876.714,1,11.7375,4.4,4.9,1,KHMIND
2021,KHM,JPN,4402,8.389814262,1140012.5,0,0,0,0,0.000015,27000000,4940000000,1,0,1140012.5,0,12.4006,4.4,3.3,1,KHMJPN
2021,KHM,KHM,160,5.075173815,178986,1,0,0,0,0.000578,27000000,27000000,0,1,178986,1,0,0,0,0,KHMKHM
2021,KHM,LAO,751,6.621405652,2463.456,1,1,0,1,0.00025,27000000,18800000,1,0,2463.456,1,15.5573,4.4,3.2,1,KHMLAO
2021,KHM,MMR,1109,7.011213987,3368.366,1,0,0,0,0.000905,27000000,65100000,1,0,3368.366,1,10.129,4.4,2.6,1,KHMMMR
2021,KHM,MYS,997,6.90475077,116024.82,1,0,0,0,0.011898,27000000,373000000,1,0,116024.82,1,12.3294,4.4,2.4,1,KHMMYS
2021,KHM,PHL,1774,7.480992163,36943.268,1,0,0,0,0.001911,27000000,394000000,1,0,36943.268,1,12.4066,4.4,4,1,KHMPHL
2021,KHM,SGP,1142,7.04053639,48101.201,1,0,0,0,0.004249,27000000,397000000,1,0,48101.201,1,13.1725,4.4,2.6,1,KHMSGP
2021,KHM,THA,533,6.278521424,343567.98,1,1,0,0,0.000942,27000000,506000000,1,0,343567.98,1,11.9195,4.4,2.1,1,KHMTHA
2021,KHM,USA,14215,9.562053024,4414284.1,0,0,0,0,0.000928,27000000,23000000000,0,0,4414284.1,0,13.0045,4.4,4.1,1,KHMUSA
2021,KHM,VNM,211,5.351858133,359195.66,1,1,0,1,0.000281,27000000,363000000,1,0,359195.66,1,10.6045,4.4,5,1,KHMVNM
2021,LAO,ARE,4938,8.50471567,8399.495,0,0,0,0,0.009528,18800000,41500000,0,0,8399.495,0,11.3158,3.2,3.4,1,LAOARE
2021,LAO,AUS,7600,8.935903526,6944.489,0,0,0,0,0.002858,18800000,1540000000,1,0,6944.489,0,7.23542,3.2,3.5,1,LAOAUS
2021,LAO,BRN,1971,7.586296307,4090,1,0,0,0,0.006698,18800000,14000000,1,0,4090,1,13.125,3.2,2.4,1,LAOBRN
2021,LAO,CHN,2402,7.784057003,1670443.6,0,1,0,0,0.00024,18800000,17700000000,1,0,1670443.6,0,8.20971,3.2,6.8,1,LAOCHN
2021,LAO,IDN,2715,7.906547232,2258.37,1,0,0,0,0.004652,18800000,1190000000,1,0,2258.37,1,8.72787,3.2,3,1,LAOIDN
2021,LAO,IND,2845,7.953318347,1259.791,1,0,0,0,0.001286,18800000,3170000000,1,0,1259.791,1,7.71818,3.2,4.9,1,LAOIND
2021,LAO,JPN,4142,8.328934042,93567.304,0,0,0,0,0.000066,18800000,4940000000,1,0,93567.304,0,7.76918,3.2,3.3,1,LAOJPN
2021,LAO,KHM,751,6.621405652,16827.095,0,1,0,1,0.00025,18800000,27000000,1,0,16827.095,0,8.21675,3.2,4.4,1,LAOKHM
2021,LAO,LAO,183,5.209486153,0,1,0,0,0,0.000168,18800000,18800000,0,1,0,1,0,0,0,0,LAOLAO
2021,LAO,MMR,697,6.546785411,1927.649,1,1,0,0,0.000496,18800000,65100000,1,0,1927.649,1,9.3,3.2,2.6,1,LAOMMR
2021,LAO,MYS,1643,7.404279118,14925.935,1,0,0,0,0.005192,18800000,373000000,1,0,14925.935,1,8.0519,3.2,2.4,1,LAOMYS
2021,LAO,PHL,1999,7.600402335,317.748,1,0,0,0,0.007234,18800000,394000000,1,0,317.748,1,8.47403,3.2,4,1,LAOPHL
2021,LAO,SGP,1850,7.522940918,14704.965,1,0,0,0,0.002168,18800000,397000000,1,0,14704.965,1,7.32564,3.2,2.6,1,LAOSGP
2021,LAO,THA,520,6.253828812,2392664.4,1,1,0,0,0.000426,18800000,506000000,1,0,2392664.4,1,8.48453,3.2,2.1,1,LAOTHA
2021,LAO,USA,13498,9.510296805,29487.914,0,0,0,0,0.003352,18800000,23000000000,0,0,29487.914,0,7.43747,3.2,4.1,1,LAOUSA
2021,LAO,VNM,911,6.814542897,1054899.7,1,1,0,1,0.000416,18800000,363000000,1,0,1054899.7,1,8.49003,3.2,5,1,LAOVNM
2021,MMR,ARE,4330,8.373322821,93689.418,0,0,0,1,0.034296,65100000,41500000,0,0,93689.418,0,7.15457,2.6,3.4,1,MMRARE
2021,MMR,AUS,7910,8.975883061,28020.016,0,0,0,0,0.010256,65100000,1540000000,1,0,28020.016,0,7.17165,2.6,3.5,1,MMRAUS
2021,MMR,BRN,2434,7.797291274,292.655,1,0,0,1,0.023752,65100000,14000000,1,0,292.655,1,5,2.6,2.4,1,MMRBRN
2021,MMR,CHN,3017,8.012018239,5753598.1,1,1,0,0,0.000864,65100000,17700000000,1,0,5753598.1,1,6.18059,2.6,6.8,1,MMRCHN
2021,MMR,IDN,2804,7.938802248,160027.6,1,0,0,0,0.017403,65100000,1190000000,1,0,160027.6,1,6.37955,2.6,3,1,MMRIDN
2021,MMR,IND,2342,7.758760544,635230.7,1,1,0,1,0.004645,65100000,3170000000,1,0,635230.7,1,4.78726,2.6,4.9,1,MMRIND
2021,MMR,JPN,4776,8.471358655,1435525.6,0,0,0,0,0.000342,65100000,4940000000,1,0,1435525.6,0,5.9514,2.6,3.3,1,MMRJPN
2021,MMR,KHM,1109,7.011213987,17070.021,1,0,0,0,0.000905,65100000,27000000,1,0,17070.021,1,9.84894,2.6,4.4,1,MMRKHM
